zmid,dz,cv_dm,cv_70,cv_75,cv_80,cv_85,cv_90,cv_95,cv_100,cv_105,cv_110
7.0,1,0.04407516506200147,0.641647178645449,0.641647178645449,0.641647178645449,0.641647178645449,0.7430590446892612,1.4002580950074286,1.4374185345128436,2.3674643777741915,3.1691559682378623
7.5,1,0.04318674483289608,0.7280791376599799,0.7280791376599799,0.7280791376599799,0.7280791376599799,0.8437537320033495,1.6522555622506747,1.6857392935200686,2.802988786817139,3.688014617977402
8.0,1,0.04234159537519055,0.8208045571519014,0.8208045571519014,0.8208045571519014,0.8208045571519014,0.951697675142553,1.9320642417241136,1.9598210985054678,3.287060603493291,4.254363322522695
8.5,1,0.04155743065471175,0.9202931686348995,0.9202931686348995,0.9202931686348995,0.9202931686348995,1.0674313251113967,2.241894652580204,2.2616394914726503,3.8235587985388375,4.871653136170237
